# fssvrcpp 容量基线（C9.11）
# 生成：scripts/bench_baseline.sh --save
# 环境：Linux 6.18.33.2-microsoft-standard-WSL2；服务端绑核 4-7；客户端绑核 8-15；时长 4000 ms × 3 次（每点位取中位数）
# ⚠️ WSL2 + 虚拟盘：绝对数字仅作**本机量级参考**；相对回归（<20%）与 A/B 倍数才有效
# 协议：HTTP/1.1 keep-alive；数据面真实自签 token 校验（无跳过签名模式）
# 列：label	metric	value
sqlite_write_t1	writes_per_sec	1446.0
sqlite_write_t8	writes_per_sec	2430.0
control_read_c1	rps	6808.8
control_read_c1	mibps	5.1
control_read_c1	p99_us	275.0
control_read_c1	p50_us	105.0
control_read_c1	errs	0.0
control_read_c1	client_cpu_pct	16.2
control_read_c1	reqs	27236.0
control_read_c4	rps	13848.6
control_read_c4	mibps	10.3
control_read_c4	p99_us	552.0
control_read_c4	p50_us	212.0
control_read_c4	errs	0.0
control_read_c4	client_cpu_pct	49.6
control_read_c4	reqs	55398.0
control_read_c16	rps	12635.5
control_read_c16	mibps	9.4
control_read_c16	p99_us	3646.0
control_read_c16	p50_us	938.0
control_read_c16	errs	0.0
control_read_c16	client_cpu_pct	50.1
control_read_c16	reqs	50557.0
control_read_c64	rps	11820.4
control_read_c64	mibps	8.8
control_read_c64	p99_us	16480.0
control_read_c64	p50_us	4065.0
control_read_c64	errs	0.0
control_read_c64	client_cpu_pct	52.3
control_read_c64	reqs	47342.0
data_small_get_c1	rps	4641.8
data_small_get_c1	mibps	0.1
data_small_get_c1	p99_us	356.0
data_small_get_c1	p50_us	155.0
data_small_get_c1	errs	0.0
data_small_get_c1	client_cpu_pct	13.1
data_small_get_c1	reqs	18568.0
data_small_get_c16	rps	16677.5
data_small_get_c16	mibps	0.3
data_small_get_c16	p99_us	2641.0
data_small_get_c16	p50_us	677.0
data_small_get_c16	errs	0.0
data_small_get_c16	client_cpu_pct	89.1
data_small_get_c16	reqs	66727.0
data_put_c1	rps	152.7
data_put_c1	mibps	0.0
data_put_c1	p99_us	7037.0
data_put_c1	p50_us	5161.0
data_put_c1	errs	0.0
data_put_c1	client_cpu_pct	1.0
data_put_c1	reqs	611.0
data_put_c16	rps	1354.9
data_put_c16	mibps	0.0
data_put_c16	p99_us	12185.0
data_put_c16	p50_us	9222.0
data_put_c16	errs	0.0
data_put_c16	client_cpu_pct	7.5
data_put_c16	reqs	5459.0
large_stream_c1	rps	21.0
large_stream_c1	mibps	1342.5
large_stream_c1	p99_us	40876.0
large_stream_c1	p50_us	37458.0
large_stream_c1	errs	0.0
large_stream_c1	client_cpu_pct	19.9
large_stream_c1	reqs	84.0
large_stream_c4	rps	62.4
large_stream_c4	mibps	3996.5
large_stream_c4	p99_us	59374.0
large_stream_c4	p50_us	50425.0
large_stream_c4	errs	0.0
large_stream_c4	client_cpu_pct	202.8
large_stream_c4	reqs	253.0
upload_chain_c1	files_s	43.3
upload_chain_c1	p99_us	24915.0
upload_chain_c1	errs	0.0
upload_chain_c1	client_cpu_pct	1.1
upload_chain_c8	files_s	189.1
upload_chain_c8	p99_us	44645.0
upload_chain_c8	errs	0.0
upload_chain_c8	client_cpu_pct	4.0
upload_chain_per_file_c4	files_s	109.9
upload_chain_per_file_c4	p99_us	38772.0
upload_chain_per_file_c4	errs	0.0
upload_chain_per_file_c4	client_cpu_pct	2.4
upload_chain_batch_c4	files_s	468.6
upload_chain_batch_c4	p99_us	11247.0
upload_chain_batch_c4	errs	0.0
upload_chain_batch_c4	client_cpu_pct	8.6
upload_chain_never_c4	files_s	452.0
upload_chain_never_c4	p99_us	12388.0
upload_chain_never_c4	errs	0.0
upload_chain_never_c4	client_cpu_pct	8.7
